District_Province,lat,long,Above_18_Population,Total_Coverage_Percentage
Karachi Central,24.9551,67.0584,1880872,11.55
Karachi East,24.8732,67.106,1770739,51.67
Karachi Korangi,24.8387,67.1209,1357865,15.67
Karachi Malir,24.8937,67.2163,1180789,13.31
Karachi South,25.1072,67.2371,1239098,42.22
Karachi West,24.9713,66.9511,2773453,5.61
Karachi Division,24.8607,67.0011,10202816,21.38
Badin,24.6459,68.8467,993845,12.11
Dadu,26.7341,67.7795,811964,6.37
Hyderabad,25.396,68.3578,1406979,16.41
Jamshoro,25.4304,68.2809,593948,12.88
Matiari,25.5922,68.4442,437950,13.35
Sujawal,24.6042,68.0776,427757,6.15
Tando Allahyar,25.457,68.7215,471536,9.15
Tando Muhammad Khan,25.1256,68.5426,376910,9.11
Thatta,24.7475,67.9106,560565,7.69
Hyderabad Division,25.3924,68.3737,6081454,11.26
Ghotki,28.0271,69.3235,867740,7.03
Khairpur,27.5256,68.7551,1270598,7.12
Sukkur,27.7244,68.8228,827507,10.34
Sukkur Division,27.7244,68.8228,2965845,7.99
Mirpur Khas,25.5065,69.0136,835773,14.87
Tharparkar,24.8777,70.2408,785829,11.61
Umer Kot,25.3549,69.7376,580757,13.2
Mirpurkhas Division,25.5065,69.0136,2202359,13.27
Naushahro Feroze,26.8463,68.1253,882413,7.18
Sanghar,26.0436,68.948,1124520,13.14
Shaheed Benazir Abad,26.2988,68.2385,885102,10.1
SBA Division,26.2988,68.2385,2892035,10.39
Jacobabad,28.2437,68.3816,492225,8.85
Kambar ShahdadKot,27.5859,68.006,668808,5.22
Kashmore,28.4482,69.5857,534387,7.51
Larkana,27.557,68.2028,828671,9.36
Shikarpur,27.957,68.638,615061,6.89
Larkana Division,27.557,68.2028,3139152,7.6
Sindh Total,25.8943,68.5247,27483661,14.31
Keamari,24.8788,66.879,,
